Manic Street Preachers,A design for life,0,5400,10770,16290,19020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2m7 (add 13),5,b3ma7,2m7b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Prairie League,Amie,0,1310,2000,2680,4030,4750,5370,6640,7500,8050,11000,13560,16380,19130,22210,,,,,,,,,,,,,,,,,,,,,
,,1,b7,4,1,b7,4,1,b7,4,1,4,b3,4,b3,5,,,,,,,,,,,,,,,,,,,,,
Ben Folds,Annie Waits,0,1320,1550,1810,3780,5740,7720,11650,13610,15600,17570,19510,,,,,,,,,,,,,,,,,,,,,,,,
,,1 ,5,4,1 ,6,5,2ma,4ma7,5,6,2ma,4,,,,,,,,,,,,,,,,,,,,,,,,
Marlena Shaw,California Soul,0,1360,3580,6430,8990,10290,11570,14000,16660,17960,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3ma,1,6add11,5sus,2dom/3,4,1m,6 min key,1,2 bass,,,,,,,,,,,,,,,,,,,,,,,,,,
Smokey Robinson,Cruising,0,2550,5390,5360,11050,13850,16680,17720,19540,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,1,2,1,4,b7 ,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elton John,Daniel,0,2250,5910,9610,11200,13260,14850,16910,20530,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2m7,5,3dom7,6,4,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mama's Gun,Diamond in the bell jar,0,300,3020,4920,6470,9080,11080,12200,18830,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,1,4,5sus,1,4,5sus,b7dom7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,Everything I own,0,4800,6430,8020,9640,11220,12820,14460,16080,17680,19260,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,3/5,6,1/5,4,4m6 (mel),5sus,5,1,3/5,6,,,,,,,,,,,,,,,,,,,,,,,,,
Weird Al Yankovic,Everything you know is wrong,0,650,1390,2130,1880,3620,4360,5090,5880,7350,8100,8820,10340,11060,11810,12570,13320,14060,14770,15720,16290,17210,17970,,,,,,,,,,,,,
,,6,6m7/b7,2ma/3,2ma,5,5dom7/b7,3m,5/5,1,4,5,1,7m7b5,3dom7,6,1/5,2dom7/3,2dom7,4,5 ,b3,4,1,,,,,,,,,,,,,
St Vincent,Fear the future,0,1620,3470,5020,6930,8460,10200,11900,13620,17060,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1/5,4,b7,1,4,1,4,b6,b7,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Mansfield,Funky fanfare,0,590,850,7700,8360,10160,10790,13320,14580,15840,17290,18370,,,,,,,,,,,,,,,,,,,,,,,,
,,1,b7,1,4,1,4,1,b6,b7,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Loggins,Heart to heart,0,2830,5790,8760,10210,11640,14600,16050,17660,20380,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,5sus,1,6,b7add9,1,6,5,4,5sus,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical Face,Home movies,0,7780,16850,26110,35170,39830,44300,48720,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,6,  4,6,1/3,b3add9,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylie Minogue,I should be so lucky,0,1210,3270,  ,5370,6410,7430,8470,9470,11050,13610,15680,17760,,,,,,,,,,,,,,,,,,,,,,,
,,5,1,4,5,3,6,2,5,1,1 (mod),6 (mod),b7,5,,,,,,,,,,,,,,,,,,,,,,,
The Beatles,I will,0,920,1970,3370,3960,4530,5730,6730,7970,8610,9170,10330,11490,12670,17230,,,,,,,,,,,,,,,,,,,,,
,,1dom7/5,4,5,6,#5aug,1dom7/5,4,5,6,#5aug,1dom7/5,2,5,b6,1,,,,,,,,,,,,,,,,,,,,,
Diana Ross,I won't last a day without you,0,720,1350,2930,4640,6290,7060,7990,9610,11260,12890,14550,15980,17880,19130,,,,,,,,,,,,,,,,,,,,,
,,2,5,1ma7,1dom7,4,2,5,1ma7,1dom7,4,1/3,2,5,3,b7ma7,,,,,,,,,,,,,,,,,,,,,
Pusha T,If you know you know,0,6570,9630,15950,19060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,b7,b5,1,b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ye Vagabonds,I'm a rover,0,1830,3370,5170,6910,8470,10140,11280,11850,15230,16990,18780,20660,22390,24230,,,,,,,,,,,,,,,,,,,,,
,,1,4,1/3,5,1,4,1,5,1,4,1/3,5,6m7,4,1,,,,,,,,,,,,,,,,,,,,,
Donny Hathaway,Je vous aime,0,2430,5090,7650,10350,12960,15600,18180,19490,20790,22090,24340,24690,25890,27160,27420,31110,,,,,,,,,,,,,,,,,,,
,,1,6m7,2m7/b7,1/5,5sus,1/5,5sus,6,2,6,2,6,2,6,1270,260,3690,,,,,,,,,,,,,,,,,,,
Alabama Shakes,Joe,0,4110,8110,12340,12930,13520,15420,17360,19270,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,5,1,2(root),3 (root),4,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nora en Pure,Life on Hold,0,1840,4000,5980,7970,11880,13930,15830,18420,18960,19850,,,,,,,,,,,,,,,,,,,,,,,,,
,,4m7,4m,1m,b7,b6,4m,b3,4m,b6,b7,1m,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Marshall,Love and peace,0,3110,5830,8630,11420,14210,16960,19730,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,1,4,1,b3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline Rose,Nothing's impossible,0,3010,4560,6030,9060,10600,12100,15160,16620,18200,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1,5,2,1,5,4ma7,1,5,4ma7,1,5,,,,,,,,,,,,,,,,,,,,,,,,
Sure Sure,Okinawa,0,320,1420,2440,3590,4710,6930,7880,8930,10020,11180,12270,17560,19770,,,,,,,,,,,,,,,,,,,,,,
,,2m7,1,2m7,1,2m7,b7ma7,2m7,4ma7,1,2m7,1,2m7,1m,#3m,,,,,,,,,,,,,,,,,,,,,,
The Beatles,PS I love you,0,3520,5320,7070,8860,10650,12420,15540,15990,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,1,5,6,5,b6,b7 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janelle Monae,Queen,0,2070,6550,11080,15600,17920,20170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1m,1m7,b3ma7,4m7,b6ma7,5dom7b9,1m7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcade Fire,Rebellion (Lies),0,1710,3580,5440,7310,9190,11040,12950,14810,16690,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,1,4,1,4,1m,6 (min key),3 (min key),7 (min key),,,,,,,,,,,,,,,,,,,,,,,,,,
Halestorm,Skulls,0,950,2360,3700,5080,6490,8080,9330,10760,12120,13700,14860,16430,17650,18430,19070,19770,,,,,,,,,,,,,,,,,,,
,,1m,b6 ,4m ,b6 ,4m ,1ma,b3,b6 ,4m ,1ma,b3,b6 ,4m ,1m,b3,1m,b3,,,,,,,,,,,,,,,,,,,
Paul Simon,Still crazy after all these years,0,3240,4800,6380,8050,9850,11250,12310,12870,13950,14550,16080,17630,19300,20840,22610,24330,25860,27530,29170,30800,,,,,,,,,,,,,,,
,,1 ,1dom7,4,4m6,1,7m,3ma,3ma/3,6,b6aug,5m7,1,4sus,#4dim,1/5,5,6,#4dim,1/5,5,4m,5sus,1,,,,,,,,,,,,,
Spandau Ballet,Through the barricades,0,1210,2880,3720,4430,7760,9410,12680,14330,17580,20910,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,5,1,5/3,6,4,2,5,b7,4,1/3,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Emmanuel,Timber lake road,0,1000,1980,2940,3320,3940,4860,5710,6620,7570,8640,9630,10630,11340,11590,12510,13370,14300,15250,17300,19210,21140,,,,,,,,,,,,,,
,,1,b7,1,4/3,b7,1,b7,4,b3 ,1,b7,1,4/3,b7,1,b7,4,b3 ,1,6,b6,5,,,,,,,,,,,,,,
Slant 6,What kind of monster are you,0,550,600,1370,1700,1900,3110,4220,5350,5570,6130,6470,7060,8040,9190,10390,10650,11160,11480,11940,12930,14230,15430,16680,19340,19340,,,,,,,,,,
,,6,5,6,2,1,4,1,6,5,6,2,1,4,1,6,5,6,2,1,4,1,2,3,5,5,1,,,,,,,,,,
Nicholas Godin,What makes me think about you,0,320,3170,5980,8870,11710,14510,17360,18760,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5 bass,1,4ma7,1,4ma7,1,4m6,1,5/3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevie Wonder,You and I,0,2160,6000,9680,11700,13570,17430,21180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2dom7,5,1,5m7,1dom7,4,4m7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
